biosample	classification	organ_slims	n_dnase_files	n_bio_reps	n_experiments	best_accession	best_file_size	best_experiment	best_date	encode_phase	pipeline_version	has_h3k27ac	has_rna_seq
astrocyte of the hippocampus	primary cell	brain	4	2	1	ENCFF222XQL	2146788735	ENCSR000ENA	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	False
astrocyte of the spinal cord	primary cell	spinal cord	4	2	1	ENCFF960DBN	2411075241	ENCSR000ENB	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	False
bipolar neuron	in vitro differentiated cells	eye,spinal cord,ear,brain	4	2	1	ENCFF440SZY	17592237397	ENCSR626RVD	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
body of pancreas	tissue	pancreas	8	1	4	ENCFF488PQX	15868872023	ENCSR828FVZ	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
brain	organoid	brain	39	2	16	ENCFF594ZYT	10889032921	ENCSR049SVH	2021-09-07	ENCODE4	dnase-alignment-step-v-1-0	False	True
brain microvascular endothelial cell	primary cell	epithelium,vasculature,brain,blood vessel	6	2	2	ENCFF203RLS	2100342514	ENCSR000ENE	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	True	False
brain pericyte	primary cell	connective tissue,brain	2	1	1	ENCFF582YGW	2977125164	ENCSR000ENF	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
breast epithelium	tissue	breast,epithelium	4	1	2	ENCFF006XGN	10735057678	ENCSR859LTL	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
bronchial epithelial cell	primary cell	epithelium,lung,bronchus	8	2	2	ENCFF760VZX	1659522286	ENCSR000EPX	2020-09-19	ENCODE4	dnase-alignment-step-v-1-0	False	True
cardiac fibroblast	primary cell	connective tissue,heart	13	2	3	ENCFF628HTA	2583349723	ENCSR000ENH	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	False
cardiac muscle cell	primary cell	musculature of body,heart	12	2	3	ENCFF638HIX	2202486451	ENCSR000ENJ	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	True	True
cardiac myoblast	in vitro differentiated cells	musculature of body,heart	2	1	1	ENCFF426WHF	5361244890	ENCSR000EMV	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
cardiac septum	tissue	heart	1	1	1	ENCFF555LVN	16215472599	ENCSR524QBS	2020-09-25	ENCODE4	dnase-alignment-step-v-1-0	False	True
cardiovascular progenitor cell	in vitro differentiated cells		4	2	1	ENCFF130IKC	2492565350	ENCSR000EMW	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	False
caudate nucleus	tissue	brain	3	1	1	ENCFF152WNP	36150641594	ENCSR015BGH	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
central memory CD4-positive, alpha-beta T cell	primary cell		3	1	3	ENCFF244GTJ	14196293307	ENCSR467YCD	2022-05-23	ENCODE4	dnase-alignment-step-v-1-0	False	False
central memory CD8-positive, alpha-beta T cell	primary cell		2	1	2	ENCFF888ITV	7996124814	ENCSR560UTV	2021-09-07	ENCODE4	dnase-alignment-step-v-1-0	False	False
cerebellar cortex	tissue	brain	5	2	1	ENCFF462NEC	9654876107	ENCSR503HIB	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
cerebellum	tissue	brain	4	2	1	ENCFF681FFX	9232650587	ENCSR000EIJ	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	True
chondrocyte	in vitro differentiated cells	connective tissue	2	2	1	ENCFF082QHJ	12718175692	ENCSR970DQR	2021-10-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
chorion	tissue	extraembryonic component	3	1	1	ENCFF535TTP	6955683877	ENCSR000EIL	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	True
choroid plexus epithelial cell	primary cell	epithelium,brain,vasculature	4	2	1	ENCFF727EOB	2505782531	ENCSR000ENL	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
colonic mucosa	tissue	colon,intestine,large intestine	2	1	2	ENCFF894ICA	13093390204	ENCSR994KTY	2021-08-30	ENCODE4	dnase-alignment-step-v-1-0	True	True
common myeloid progenitor, CD34-positive	primary cell	bone marrow,bone element	30	2	12	ENCFF971TCE	30594087188	ENCSR468ZXN	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	True
coronary artery	tissue	arterial blood vessel,blood vessel,vasculature,heart	4	1	2	ENCFF384OUM	14465578724	ENCSR999TSD	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	True	False
dedifferentiated amniotic fluid mesenchymal stem cell	primary cell	connective tissue,extraembryonic component	4	2	1	ENCFF919RMZ	15345049756	ENCSR820WLP	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
dermis blood vessel endothelial cell	primary cell	epithelium,vasculature,skin of body,blood vessel	16	2	4	ENCFF320KKF	4044538057	ENCSR000ENZ	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	True
dermis microvascular lymphatic vessel endothelial cell	primary cell	skin of body,lymphatic vessel,vasculature,epithelium,blood vessel	8	2	2	ENCFF627UXJ	3282720089	ENCSR000EOB	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	True
dorsolateral prefrontal cortex	tissue	brain	56	1	56	ENCFF114ZVW	15848565204	ENCSR306LNA	2021-08-30	ENCODE4	dnase-alignment-step-v-1-0	True	True
ecto neural progenitor cell	in vitro differentiated cells		2	1	1	ENCFF379BUG	18791665243	ENCSR360XIS	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	False	False
effector CD4-positive, alpha-beta T cell	primary cell		2	1	2	ENCFF592KGP	6869116973	ENCSR525VCH	2020-10-04	ENCODE4	dnase-alignment-step-v-1-0	False	False
effector memory CD4-positive, alpha-beta T cell	primary cell	bodily fluid,blood	3	1	3	ENCFF864BTN	4052514006	ENCSR724INK	2020-10-04	ENCODE4	dnase-alignment-step-v-1-0	False	False
effector memory CD8-positive, alpha-beta T cell	primary cell	bodily fluid,blood	3	1	3	ENCFF485FNB	7474380884	ENCSR232FAS	2021-09-07	ENCODE4	dnase-alignment-step-v-1-0	False	False
embryonic facial prominence	tissue	embryo	4	2	1	ENCFF967IXP	17414668160	ENCSR435NHO	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
endodermal cell	in vitro differentiated cells	embryo	5	2	2	ENCFF800HSD	21611433840	ENCSR940CXU	2021-11-30	ENCODE4	dnase-alignment-step-v-1-0	True	True
endothelial cell	in vitro differentiated cells	epithelium	2	2	1	ENCFF299GXP	11059235114	ENCSR541IET	2021-08-30	ENCODE4	dnase-alignment-step-v-1-0	False	True
endothelial cell of umbilical vein	primary cell	vasculature,placenta,blood vessel,vein,epithelium,extraembryonic component	7	2	2	ENCFF309JXB	1708935246	ENCSR000EKF	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	True	True
epidermal melanocyte	primary cell	epithelium,skin of body	3	1	1	ENCFF786HBB	10180937816	ENCSR000ELD	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
epithelial cell of esophagus	primary cell	esophagus,epithelium	4	2	1	ENCFF283GDN	2427384370	ENCSR000ENN	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	False
epithelial cell of prostate	primary cell	prostate gland,epithelium	4	2	1	ENCFF477OTZ	2461501933	ENCSR000EPU	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	True	False
epithelial cell of proximal tubule	primary cell	kidney,epithelium	4	2	1	ENCFF890QZF	2722483649	ENCSR000EPW	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	True
esophagus muscularis mucosa	tissue	esophagus,musculature of body	2	1	1	ENCFF054FLU	15397226937	ENCSR944JCE	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	True	True
esophagus squamous epithelium	tissue	esophagus,epithelium	2	1	1	ENCFF699UQU	15476706882	ENCSR783OCW	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	True	True
eye	tissue	eye	8	2	2	ENCFF597SAZ	27881122849	ENCSR127PWK	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
femur	tissue	skeleton,limb,bone element	2	1	1	ENCFF152OOX	13233914402	ENCSR805XIF	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of dermis	primary cell	connective tissue,skin of body	4	2	1	ENCFF293BEP	2782965552	ENCSR000EPO	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	True	True
fibroblast of gingiva	primary cell	connective tissue,mouth	5	2	1	ENCFF651XJD	1776912410	ENCSR000ENS	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of lung	primary cell	connective tissue,lung	8	2	2	ENCFF807OQU	2276747074	ENCSR000EPR	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	True	True
fibroblast of mammary gland	primary cell	connective tissue,exocrine gland,mammary gland	4	2	1	ENCFF698PYM	17714793110	ENCSR000ENW	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of peridontal ligament	primary cell	connective tissue,mouth	4	2	1	ENCFF087PPY	1314338494	ENCSR000EOI	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of pulmonary artery	primary cell	arterial blood vessel,connective tissue,vasculature,blood vessel	4	2	1	ENCFF141EHE	1998327013	ENCSR000EOH	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of skin of abdomen	primary cell	connective tissue,skin of body	5	1	2	ENCFF906YYA	20250778877	ENCSR622TWS	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
fibroblast of skin of back	primary cell	skin of body,connective tissue	4	1	1	ENCFF486ECD	22412198052	ENCSR184LMY	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
fibroblast of skin of left biceps	primary cell	skin of body	4	1	2	ENCFF720NZB	2590180511	ENCSR648GDP	2020-11-11	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of skin of left quadriceps	primary cell	skin of body	4	1	2	ENCFF156CPF	3693440485	ENCSR371KRY	2020-11-11	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of skin of right biceps	primary cell	skin of body	4	1	1	ENCFF623ERH	27298979717	ENCSR383BLX	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of skin of right quadriceps	primary cell	skin of body	4	1	1	ENCFF104BQJ	23643071299	ENCSR217RVH	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of skin of scalp	primary cell	connective tissue,skin of body	5	1	2	ENCFF351UST	20484155852	ENCSR770DEN	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
fibroblast of the aortic adventitia	primary cell	arterial blood vessel,connective tissue,vasculature,blood vessel	4	2	1	ENCFF074KNZ	20484694006	ENCSR000EMC	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
fibroblast of the conjunctiva	primary cell	connective tissue,eye	4	2	1	ENCFF530SXH	3180116771	ENCSR000ENK	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of upper back skin	primary cell	connective tissue,skin of body	5	1	2	ENCFF413DAA	20535025693	ENCSR325LYJ	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	False
fibroblast of villous mesenchyme	primary cell	connective tissue,placenta,extraembryonic component	4	2	1	ENCFF626XTB	1434129676	ENCSR000EOR	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
forelimb muscle	tissue	musculature of body,limb	2	1	1	ENCFF513HSP	1463742437	ENCSR166TEE	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
foreskin fibroblast	primary cell	connective tissue,penis,skin of body	14	2	4	ENCFF443DQB	2850621541	ENCSR000EPP	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	True
foreskin keratinocyte	primary cell	epithelium,penis,skin of body	7	1	2	ENCFF218LFH	4658540768	ENCSR724CND	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
foreskin melanocyte	primary cell	penis	7	1	2	ENCFF768NBD	23039074924	ENCSR434OBM	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
frontal cortex	tissue	brain	8	2	2	ENCFF806OZU	9769916991	ENCSR000EIY	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	True
gastrocnemius medialis	tissue	musculature of body,limb	12	1	6	ENCFF705QKE	12024171341	ENCSR171ADO	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
germinal center	tissue	lymphoid tissue	3	1	1	ENCFF312VPD	12797156598	ENCSR000EIZ	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
globus pallidus	tissue	brain	6	2	1	ENCFF686XUA	11241619297	ENCSR771DAX	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
glomerular endothelial cell	primary cell	kidney,epithelium,vasculature	4	2	1	ENCFF637XTZ	1604267384	ENCSR000EOM	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	True
glomerular visceral epithelial cell	primary cell	kidney,epithelium	4	2	1	ENCFF266BCP	13224809265	ENCSR785BDQ	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	False	False
glutamatergic neuron	in vitro differentiated cells		2	2	1	ENCFF812NDP	11640865745	ENCSR109RIQ	2021-12-13	ENCODE4	dnase-alignment-step-v-1-0	False	True
head of caudate nucleus	tissue	brain	86	1	86	ENCFF548UIU	11204042378	ENCSR042DVU	2021-08-30	ENCODE4	dnase-alignment-step-v-1-0	False	False
heart	tissue	heart	44	2	18	ENCFF360YPK	9637988853	ENCSR000EJQ	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	True
heart left ventricle	tissue	heart	15	2	10	ENCFF776NLW	13891415936	ENCSR946DXB	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
heart right ventricle	tissue	heart	13	2	10	ENCFF788XKC	18009838097	ENCSR746RDJ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
hematopoietic multipotent progenitor cell	in vitro differentiated cells	blood,bodily fluid	48	3	12	ENCFF904FRI	3158078477	ENCSR000EMK	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	True
hepatic stellate cell	primary cell	endocrine gland,connective tissue,liver,exocrine gland	3	1	1	ENCFF450TQE	8143543656	ENCSR000ELR	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	False	False
hepatocyte	primary cell	endocrine gland,exocrine gland,liver,epithelium	7	2	2	ENCFF071UJW	7285461680	ENCSR000EJU	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	True	True
hindlimb muscle	tissue	musculature of body,limb	2	1	1	ENCFF028KIR	4664691759	ENCSR385AMY	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
iPS DF 19.11	cell line	skin of prepuce of penis,penis,skin of body	2	1	1	ENCFF966PEX	17845458724	ENCSR383SNM	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	False
iPS DF 19.7	cell line	skin of prepuce of penis,penis,skin of body	2	1	1	ENCFF984DFA	1682859531	ENCSR440QMR	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
iPS DF 4.7	cell line	skin of prepuce of penis,penis,skin of body	2	1	1	ENCFF500VCT	1633105450	ENCSR014FPY	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
iPS DF 6.9	cell line	skin of prepuce of penis,penis,skin of body	2	1	1	ENCFF138HXB	1722142578	ENCSR261SMF	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	False
iPS-NIHi11	cell line	skin of body	4	1	1	ENCFF689MGG	19857287038	ENCSR000EKJ	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
iPS-NIHi7	cell line	skin of body	4	1	1	ENCFF867SEB	21827035444	ENCSR000EKK	2020-11-22	ENCODE4	dnase-alignment-step-v-1-0	False	False
immature natural killer cell	primary cell	bone marrow,thymus,lymph node,bone element,spleen	3	1	3	ENCFF104IZR	11321493367	ENCSR696ZDW	2022-03-21	ENCODE4	dnase-alignment-step-v-1-0	False	True
inferior parietal cortex	tissue	brain	2	1	1	ENCFF257XRV	20395945089	ENCSR986YWZ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
inflammatory macrophage	primary cell	bodily fluid,blood	6	3	5	ENCFF075CXL	14621538201	ENCSR721XAP	2020-10-04	ENCODE4	dnase-alignment-step-v-1-0	False	False
iris pigment epithelial cell	primary cell	epithelium,eye	4	2	1	ENCFF029GGS	2456448364	ENCSR000ENT	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	False
islet precursor cell	in vitro differentiated cells	pancreas	2	1	1	ENCFF071OAX	25868458292	ENCSR224FOA	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
keratinocyte	primary cell	epithelium,skin of body	7	2	2	ENCFF478FRB	2404225843	ENCSR000ELH	2020-11-20	ENCODE4	dnase-alignment-step-v-1-0	True	True
kidney	tissue	kidney	33	2	14	ENCFF111KOD	2097384454	ENCSR106OKX	2020-11-11	ENCODE4	dnase-alignment-step-v-1-0	False	True
kidney capillary endothelial cell	primary cell	kidney,vasculature,blood vessel,epithelium	3	1	1	ENCFF566YML	10349113397	ENCSR988YKR	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	False	False
kidney epithelial cell	primary cell	kidney,epithelium	4	2	1	ENCFF889IWS	1979880738	ENCSR000EOL	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	True
kidney glomerular epithelial cell	primary cell	kidney,epithelium	4	2	1	ENCFF930JHG	23449452316	ENCSR136KEL	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
kidney tubule cell	primary cell	kidney,epithelium	9	2	2	ENCFF212KVO	15322440240	ENCSR257CIZ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
large intestine	tissue	large intestine,intestine	28	1	14	ENCFF091HXM	3076230581	ENCSR047FNH	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
left cardiac atrium	tissue	heart	3	1	2	ENCFF608NUI	16287641609	ENCSR412NMI	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
left colon	tissue	colon,large intestine,intestine	2	1	2	ENCFF873BRQ	12067294520	ENCSR867XFA	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	False	True
left forelimb	tissue	skeleton,limb,bone element	2	1	1	ENCFF771KYO	11197578553	ENCSR976XOY	2020-10-24	ENCODE4	dnase-alignment-step-v-1-0	False	False
left hindlimb	tissue	bone element,limb,skeleton	2	1	1	ENCFF945PTG	10038762757	ENCSR431UEM	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	False	False
left kidney	tissue	kidney	21	2	9	ENCFF377XPX	3922112452	ENCSR120LVW	2020-11-11	ENCODE4	dnase-alignment-step-v-1-0	False	True
left lobe of liver	tissue	liver,endocrine gland,exocrine gland	1	1	1	ENCFF566UVH	16456082133	ENCSR802ZYE	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	False	True
left lung	tissue	lung	28	1	15	ENCFF799RBH	16863274387	ENCSR723VNG	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	True	True
left renal cortex interstitium	tissue	kidney	8	1	4	ENCFF559KDW	1861487385	ENCSR092WMD	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
left renal pelvis	tissue	ureter,kidney	8	1	4	ENCFF073KIB	2278665540	ENCSR258IBL	2020-11-11	ENCODE4	dnase-alignment-step-v-1-0	False	True
left ventricle myocardium inferior	tissue	heart	1	1	1	ENCFF570JPA	9158467988	ENCSR770OTB	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	True	True
left ventricle myocardium superior	tissue	heart	1	1	1	ENCFF318PTL	16612002932	ENCSR355WAJ	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	False	True
limb	tissue	limb	8	3	2	ENCFF849PMD	15034920571	ENCSR532CRI	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
liver	tissue	exocrine gland,endocrine gland,liver	6	2	2	ENCFF623XDR	21314605359	ENCSR158YXM	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
lower leg skin	tissue	skin of body,limb	4	1	2	ENCFF191TTX	22259431659	ENCSR579KDC	2020-10-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
lower lobe of left lung	tissue	lung	3	1	3	ENCFF638DOH	22695356851	ENCSR757NJT	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	True	True
lower lobe of right lung	tissue	lung	1	1	1	ENCFF708FAL	13190042904	ENCSR785JXR	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	True	True
lung	tissue	lung	35	2	14	ENCFF416BED	16104941475	ENCSR945JJB	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	True	True
lung microvascular endothelial cell	primary cell	epithelium,vasculature,lung,blood vessel	9	2	2	ENCFF475NUI	2877828556	ENCSR000EOE	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	False	True
mammary epithelial cell	primary cell	exocrine gland,epithelium,mammary gland	9	2	3	ENCFF037PGN	7374449029	ENCSR817ALC	2021-10-18	ENCODE4	dnase-alignment-step-v-1-0	True	True
medulla oblongata	tissue	brain	6	2	1	ENCFF666SVG	28779130251	ENCSR224IYD	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
memory B cell	primary cell	bodily fluid,blood	2	1	2	ENCFF256DRM	7780523583	ENCSR229BGG	2021-11-30	ENCODE4	dnase-alignment-step-v-1-0	False	False
mesenchymal stem cell	in vitro differentiated cells	connective tissue	4	1	1	ENCFF701GQV	29143076786	ENCSR731QLJ	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
mesendoderm	in vitro differentiated cells	embryo	3	1	1	ENCFF585KAH	22055547724	ENCSR714DIF	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
mesenteric fat pad	tissue	connective tissue,adipose tissue	1	1	1	ENCFF188MPX	16685110462	ENCSR197BFD	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	False	True
mesodermal cell	in vitro differentiated cells	embryo	2	1	1	ENCFF604YMS	1546502242	ENCSR000EMX	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	True
mesothelial cell of epicardium	in vitro differentiated cells	epithelium,pericardium,heart	2	1	2	ENCFF353ILO	12616042850	ENCSR658EHM	2021-09-07	ENCODE4	dnase-alignment-step-v-1-0	False	True
midbrain	tissue	brain	5	2	1	ENCFF325QQS	45930342660	ENCSR706IDL	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
middle frontal gyrus	tissue	brain	4	2	1	ENCFF951FGT	13879781874	ENCSR318PRQ	2020-10-23	ENCODE4	dnase-alignment-step-v-1-0	False	False
mucosa of descending colon	tissue	colon,intestine,large intestine	3	1	3	ENCFF314XUO	17129601594	ENCSR612CTW	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	False	True
mucosa of gallbladder	tissue	gallbladder	1	1	1	ENCFF615WJV	13359584392	ENCSR011SAG	2020-09-27	ENCODE4	dnase-alignment-step-v-1-0	False	True
muscle of arm	tissue	musculature of body,limb	34	1	17	ENCFF159SCX	4826605732	ENCSR517NHP	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
muscle of back	tissue	musculature of body	30	1	15	ENCFF452GYC	28824399067	ENCSR317SIH	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	False	True
muscle of leg	tissue	musculature of body,limb	26	1	13	ENCFF408FZW	2131037036	ENCSR033DQS	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
muscle of trunk	tissue	musculature of body	6	1	3	ENCFF905COX	25818221868	ENCSR440FZS	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
myocyte	in vitro differentiated cells	musculature of body	5	2	1	ENCFF517TZQ	28553869383	ENCSR000EPD	2020-11-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
myotube	in vitro differentiated cells	musculature of body	4	2	1	ENCFF806BLV	2129743151	ENCSR000EOP	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
naive B cell	primary cell	bodily fluid,blood	10	1	8	ENCFF870DTG	9574744739	ENCSR011VHK	2022-02-15	ENCODE4	dnase-alignment-step-v-1-0	False	True
naive thymus-derived CD4-positive, alpha-beta T cell	primary cell	bodily fluid,blood	19	1	15	ENCFF441QOR	14393840537	ENCSR181OGW	2022-02-15	ENCODE4	dnase-alignment-step-v-1-0	False	True
naive thymus-derived CD8-positive, alpha-beta T cell	primary cell	bodily fluid,blood	12	1	12	ENCFF141NLE	11196917199	ENCSR291HMM	2022-07-25	ENCODE4	dnase-alignment-step-v-1-0	False	True
natural killer cell	primary cell	blood,bodily fluid	11	1	7	ENCFF880CFI	13710735776	ENCSR409ZBD	2021-11-30	ENCODE4	dnase-alignment-step-v-1-0	True	True
nephron progenitor cell	in vitro differentiated cells	kidney	2	2	1	ENCFF576RND	9486452951	ENCSR503UNA	2021-02-25	ENCODE4	dnase-alignment-step-v-1-0	False	False
neural crest cell	in vitro differentiated cells	embryo	2	2	1	ENCFF470PUW	7725803586	ENCSR826URD	2021-10-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
neural progenitor cell	in vitro differentiated cells		4	2	1	ENCFF281RRN	19900670677	ENCSR963ALV	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	True	True
neuronal stem cell	in vitro differentiated cells	embryo	3	1	1	ENCFF204GFI	6035047903	ENCSR278FVO	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
non-pigmented ciliary epithelial cell	primary cell	epithelium	4	2	1	ENCFF887UAC	2286472537	ENCSR000EOF	2020-11-12	ENCODE4	dnase-alignment-step-v-1-0	False	False
occipital lobe	tissue	brain	2	1	1	ENCFF002NJP	32213942297	ENCSR859CZM	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
omental fat pad	tissue	connective tissue,adipose tissue	4	1	2	ENCFF114DZC	18988702701	ENCSR154OUQ	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	True
osteoblast	primary cell	connective tissue	4	1	1	ENCFF977LFT	11982722383	ENCSR000ELJ	2021-02-08	ENCODE4	dnase-alignment-step-v-1-0	True	True
osteocyte	in vitro differentiated cells	bone element,connective tissue	1	1	1	ENCFF426FCA	18973723281	ENCSR818HHN	2021-10-18	ENCODE4	dnase-alignment-step-v-1-0	False	True
ovary	tissue	gonad,ovary	13	1	9	ENCFF593QEZ	3585369221	ENCSR712PYJ	2020-11-10	ENCODE4	dnase-alignment-step-v-1-0	True	True
pancreas	tissue	pancreas	10	1	8	ENCFF027VJJ	3034732695	ENCSR178JBL	2020-11-11	ENCODE4	dnase-alignment-step-v-1-0	True	True
placenta	tissue	placenta,extraembryonic component	37	2	22	ENCFF173GOA	42878965165	ENCSR035QHH	2020-11-16	ENCODE4	dnase-alignment-step-v-1-0	True	True
pons	tissue	brain	3	1	1	ENCFF839GGU	21334004519	ENCSR829MXU	2020-11-06	ENCODE4	dnase-alignment-step-v-1-0	False	False
posterior cingulate gyrus	tissue	brain	48	1	48	ENCFF340NDL	11026534710	ENCSR709PZI	2021-09-09	ENCODE4	dnase-alignment-step-v-1-0	False	False
posterior vena cava	tissue	vein,vasculature,blood vessel	1	1	1	ENCFF622SVF	18754842346	ENCSR324NVG	2020-09-28	ENCODE4	dnase-alignment-step-v-1-0	False	True
progenitor cell of endocrine pancreas	in vitro differentiated cells	endocrine gland,pancreas	1	1	1	ENCFF156CDQ	9451496304	ENCSR169KNO	2021-02-25	ENCODE4	dnase-alignment-step-v-1-0	False	True
